model,domain,type,position,mean_drci_cold,sem_drci_cold,mean_drci_scrambled,disruption_sensitivity
Gemini Flash,medical,closed,27,0.423525,0.008038,0.246868,-0.176657
Gemini Flash,medical,closed,28,0.442167,0.017546,0.454889,0.012722
Gemini Flash,medical,closed,29,0.287709,0.011918,0.317509,0.029800
Gemini Flash,medical,closed,30,0.823196,0.014373,0.429122,-0.394074
Claude Haiku,medical,closed,1,0.159299,0.005709,0.239165,0.079866
Claude Haiku,medical,closed,2,0.218359,0.007953,0.218329,-0.000029
Claude Haiku,medical,closed,3,0.509120,0.010448,0.375407,-0.133713
Claude Haiku,medical,closed,4,0.274645,0.007956,0.306283,0.031638
Claude Haiku,medical,closed,5,0.207313,0.005258,0.239608,0.032295
Claude Haiku,medical,closed,6,0.345349,0.008302,0.323632,-0.021718
Claude Haiku,medical,closed,7,0.201140,0.006278,0.215795,0.014655
Claude Haiku,medical,closed,8,0.429460,0.008092,0.353727,-0.075733
Claude Haiku,medical,closed,9,0.190237,0.005250,0.203666,0.013429
Claude Haiku,medical,closed,10,0.614118,0.009639,0.312098,-0.302020
Claude Haiku,medical,closed,11,0.207668,0.005242,0.187462,-0.020207
Claude Haiku,medical,closed,12,0.442974,0.010572,0.398683,-0.044290
Claude Haiku,medical,closed,13,0.304128,0.009538,0.256929,-0.047199
Claude Haiku,medical,closed,14,0.205238,0.005865,0.202620,-0.002618
Claude Haiku,medical,closed,15,0.308273,0.005036,0.258654,-0.049619
Claude Haiku,medical,closed,16,0.287077,0.006447,0.286706,-0.000371
Claude Haiku,medical,closed,17,0.240983,0.006316,0.253238,0.012255
Claude Haiku,medical,closed,18,0.312580,0.008142,0.379141,0.066561
Claude Haiku,medical,closed,19,0.273603,0.009799,0.235140,-0.038462
Claude Haiku,medical,closed,20,0.213266,0.005871,0.175178,-0.038088
Claude Haiku,medical,closed,21,0.708474,0.006918,0.242689,-0.465785
Claude Haiku,medical,closed,22,0.396059,0.009829,0.327703,-0.068356
Claude Haiku,medical,closed,23,0.227395,0.005768,0.206333,-0.021062
Claude Haiku,medical,closed,24,0.304353,0.008273,0.300527,-0.003826
Claude Haiku,medical,closed,25,0.406954,0.009861,0.292417,-0.114537
Claude Haiku,medical,closed,26,0.497076,0.010583,0.310474,-0.186602
Claude Haiku,medical,closed,27,0.224212,0.006523,0.209317,-0.014895
Claude Haiku,medical,closed,28,0.314789,0.006536,0.262289,-0.052500
Claude Haiku,medical,closed,29,0.302286,0.007064,0.252562,-0.049724
Claude Haiku,medical,closed,30,0.875021,0.007969,0.316960,-0.558061
GPT-4o,medical,closed,1,0.116283,0.006816,0.125600,0.009317
GPT-4o,medical,closed,2,0.155280,0.004782,0.127970,-0.027311
GPT-4o,medical,closed,3,0.481712,0.018073,0.265695,-0.216017
GPT-4o,medical,closed,4,0.230660,0.007955,0.190442,-0.040218
GPT-4o,medical,closed,5,0.160785,0.005922,0.146175,-0.014610
GPT-4o,medical,closed,6,0.356853,0.009263,0.246088,-0.110764
GPT-4o,medical,closed,7,0.154217,0.004757,0.113741,-0.040475
GPT-4o,medical,closed,8,0.428661,0.015102,0.229152,-0.199508
GPT-4o,medical,closed,9,0.128332,0.004145,0.098650,-0.029682
GPT-4o,medical,closed,10,0.763807,0.006584,0.317669,-0.446137
GPT-4o,medical,closed,11,0.184570,0.005278,0.131759,-0.052812
GPT-4o,medical,closed,12,0.687283,0.010025,0.306412,-0.380871
GPT-4o,medical,closed,13,0.148373,0.005043,0.097766,-0.050607
GPT-4o,medical,closed,14,0.145457,0.004997,0.103993,-0.041464
GPT-4o,medical,closed,15,0.190787,0.006235,0.172905,-0.017882
GPT-4o,medical,closed,16,0.280283,0.006640,0.209968,-0.070315
GPT-4o,medical,closed,17,0.182880,0.006279,0.143801,-0.039079
GPT-4o,medical,closed,18,0.224791,0.007623,0.144709,-0.080082
GPT-4o,medical,closed,19,0.153447,0.006230,0.124286,-0.029161
GPT-4o,medical,closed,20,0.117432,0.004818,0.112011,-0.005422
GPT-4o,medical,closed,21,0.486128,0.007514,0.145158,-0.340970
GPT-4o,medical,closed,22,0.438393,0.007777,0.208119,-0.230274
GPT-4o,medical,closed,23,0.178303,0.003905,0.101465,-0.076839
GPT-4o,medical,closed,24,0.140460,0.004234,0.099467,-0.040993
GPT-4o,medical,closed,25,0.550536,0.008950,0.281360,-0.269176
GPT-4o,medical,closed,26,0.362994,0.006720,0.149596,-0.213398
GPT-4o,medical,closed,27,0.157301,0.005310,0.095594,-0.061707
GPT-4o,medical,closed,28,0.305387,0.008179,0.162746,-0.142641
GPT-4o,medical,closed,29,0.143849,0.006696,0.139560,-0.004289
GPT-4o,medical,closed,30,0.923042,0.006571,0.343607,-0.579435
GPT-4o-mini,medical,closed,1,0.267532,0.015039,0.289439,0.021907
GPT-4o-mini,medical,closed,2,0.358379,0.020858,0.382196,0.023817
GPT-4o-mini,medical,closed,3,0.440935,0.013855,0.374299,-0.066636
GPT-4o-mini,medical,closed,4,0.217194,0.005901,0.345643,0.128449
GPT-4o-mini,medical,closed,5,0.308845,0.016116,0.344419,0.035574
GPT-4o-mini,medical,closed,6,0.384662,0.008620,0.387579,0.002917
GPT-4o-mini,medical,closed,7,0.237087,0.012318,0.343252,0.106165
GPT-4o-mini,medical,closed,8,0.578208,0.017362,0.407781,-0.170427
GPT-4o-mini,medical,closed,9,0.227498,0.012643,0.373410,0.145912
GPT-4o-mini,medical,closed,10,0.525807,0.018361,0.460823,-0.064983
GPT-4o-mini,medical,closed,11,0.264418,0.012954,0.328775,0.064357
GPT-4o-mini,medical,closed,12,0.631699,0.017319,0.420424,-0.211275
GPT-4o-mini,medical,closed,13,0.274823,0.009624,0.359112,0.084289
GPT-4o-mini,medical,closed,14,0.241966,0.014997,0.330510,0.088544
GPT-4o-mini,medical,closed,15,0.273874,0.007530,0.371301,0.097427
GPT-4o-mini,medical,closed,16,0.314272,0.006559,0.398886,0.084614
GPT-4o-mini,medical,closed,17,0.279012,0.008664,0.390679,0.111668
GPT-4o-mini,medical,closed,18,0.699563,0.011951,0.378611,-0.320953
GPT-4o-mini,medical,closed,19,0.306617,0.016322,0.383544,0.076927
GPT-4o-mini,medical,closed,20,0.334221,0.013287,0.380458,0.046237
GPT-4o-mini,medical,closed,21,0.426769,0.014606,0.381266,-0.045502
GPT-4o-mini,medical,closed,22,0.388353,0.006669,0.416287,0.027935
GPT-4o-mini,medical,closed,23,0.252529,0.006012,0.403754,0.151225
GPT-4o-mini,medical,closed,24,0.254527,0.012673,0.338773,0.084245
GPT-4o-mini,medical,closed,25,0.343640,0.017205,0.412990,0.069350
GPT-4o-mini,medical,closed,26,0.591021,0.017799,0.434933,-0.156088
GPT-4o-mini,medical,closed,27,0.283976,0.010712,0.356732,0.072756
GPT-4o-mini,medical,closed,28,0.326211,0.009021,0.382641,0.056430
GPT-4o-mini,medical,closed,29,0.256113,0.006294,0.370700,0.114588
GPT-4o-mini,medical,closed,30,0.644682,0.032005,0.385887,-0.258795
