domain,model,position,drci,drci_sem,drci_scrambled,disruption_sensitivity
medical,Claude Haiku,24,0.304353,0.008273,0.300527,-0.003826
medical,Claude Haiku,25,0.406954,0.009861,0.292417,-0.114537
medical,Claude Haiku,26,0.497076,0.010583,0.310474,-0.186602
medical,Claude Haiku,27,0.224212,0.006523,0.209317,-0.014895
medical,Claude Haiku,28,0.314789,0.006536,0.262289,-0.0525
medical,Claude Haiku,29,0.302286,0.007064,0.252562,-0.049724
medical,Claude Haiku,30,0.875021,0.007969,0.31696,-0.558061
medical,GPT-4o,1,0.116283,0.006816,0.1256,0.009317
medical,GPT-4o,2,0.15528,0.004782,0.12797,-0.027311
medical,GPT-4o,3,0.481712,0.018073,0.265695,-0.216017
medical,GPT-4o,4,0.23066,0.007955,0.190442,-0.040218
medical,GPT-4o,5,0.160785,0.005922,0.146175,-0.01461
medical,GPT-4o,6,0.356853,0.009263,0.246088,-0.110764
medical,GPT-4o,7,0.154217,0.004757,0.113741,-0.040475
medical,GPT-4o,8,0.428661,0.015102,0.229152,-0.199508
medical,GPT-4o,9,0.128332,0.004145,0.09865,-0.029682
medical,GPT-4o,10,0.763807,0.006584,0.317669,-0.446137
medical,GPT-4o,11,0.18457,0.005278,0.131759,-0.052812
medical,GPT-4o,12,0.687283,0.010025,0.306412,-0.380871
medical,GPT-4o,13,0.148373,0.005043,0.097766,-0.050607
medical,GPT-4o,14,0.145457,0.004997,0.103993,-0.041464
medical,GPT-4o,15,0.190787,0.006235,0.172905,-0.017882
medical,GPT-4o,16,0.280283,0.00664,0.209968,-0.070315
medical,GPT-4o,17,0.18288,0.006279,0.143801,-0.039079
medical,GPT-4o,18,0.224791,0.007623,0.144709,-0.080082
medical,GPT-4o,19,0.153447,0.00623,0.124286,-0.029161
medical,GPT-4o,20,0.117432,0.004818,0.112011,-0.005422
medical,GPT-4o,21,0.486128,0.007514,0.145158,-0.34097
medical,GPT-4o,22,0.438393,0.007777,0.208119,-0.230274
medical,GPT-4o,23,0.178303,0.003905,0.101465,-0.076839
medical,GPT-4o,24,0.14046,0.004234,0.099467,-0.040993
medical,GPT-4o,25,0.550536,0.00895,0.28136,-0.269176
medical,GPT-4o,26,0.362994,0.00672,0.149596,-0.213398
medical,GPT-4o,27,0.157301,0.00531,0.095594,-0.061707
medical,GPT-4o,28,0.305387,0.008179,0.162746,-0.142641
medical,GPT-4o,29,0.143849,0.006696,0.13956,-0.004289
medical,GPT-4o,30,0.923042,0.006571,0.343607,-0.579435
medical,GPT-4o-mini,1,0.267532,0.015039,0.289439,0.021907
medical,GPT-4o-mini,2,0.358379,0.020858,0.382196,0.023817
medical,GPT-4o-mini,3,0.440935,0.013855,0.374299,-0.066636
medical,GPT-4o-mini,4,0.217194,0.005901,0.345643,0.128449
medical,GPT-4o-mini,5,0.308845,0.016116,0.344419,0.035574
medical,GPT-4o-mini,6,0.384662,0.00862,0.387579,0.002917
medical,GPT-4o-mini,7,0.237087,0.012318,0.343252,0.106165
medical,GPT-4o-mini,8,0.578208,0.017362,0.407781,-0.170427
medical,GPT-4o-mini,9,0.227498,0.012643,0.37341,0.145912
medical,GPT-4o-mini,10,0.525807,0.018361,0.460823,-0.064983
medical,GPT-4o-mini,11,0.264418,0.012954,0.328775,0.064357
medical,GPT-4o-mini,12,0.631699,0.017319,0.420424,-0.211275
medical,GPT-4o-mini,13,0.274823,0.009624,0.359112,0.084289
medical,GPT-4o-mini,14,0.241966,0.014997,0.33051,0.088544
medical,GPT-4o-mini,15,0.273874,0.00753,0.371301,0.097427
medical,GPT-4o-mini,16,0.314272,0.006559,0.398886,0.084614
medical,GPT-4o-mini,17,0.279012,0.008664,0.390679,0.111668
medical,GPT-4o-mini,18,0.699563,0.011951,0.378611,-0.320953
medical,GPT-4o-mini,19,0.306617,0.016322,0.383544,0.076927
medical,GPT-4o-mini,20,0.334221,0.013287,0.380458,0.046237
medical,GPT-4o-mini,21,0.426769,0.014606,0.381266,-0.045502
medical,GPT-4o-mini,22,0.388353,0.006669,0.416287,0.027935
medical,GPT-4o-mini,23,0.252529,0.006012,0.403754,0.151225
medical,GPT-4o-mini,24,0.254527,0.012673,0.338773,0.084245
medical,GPT-4o-mini,25,0.34364,0.017205,0.41299,0.06935
medical,GPT-4o-mini,26,0.591021,0.017799,0.434933,-0.156088
medical,GPT-4o-mini,27,0.283976,0.010712,0.356732,0.072756
medical,GPT-4o-mini,28,0.326211,0.009021,0.382641,0.05643
medical,GPT-4o-mini,29,0.256113,0.006294,0.3707,0.114588
medical,GPT-4o-mini,30,0.644682,0.032005,0.385887,-0.258795
